Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Manjushri : The Bodhisattva of Wisdom,49 MSR,,,Sold Out,https://nidhiratna.com/products/49-manjushri-deity-of-wisdom-bodhisattva,2025-06-10
Golden Radiance and Timeless Wisdom: The Medicine Buddha in Gold,52 MBR,,,Sold Out,https://nidhiratna.com/products/medicine-buddha-in-gold-statue,2025-06-10
White Tara : The Mother of Compassion,50 WTR,$922.50,$1025.00,Available,https://nidhiratna.com/products/50-white-tara-mother-tara-statue,2025-06-10
Shakyamuni Buddha : Bask in the Brilliance of Spiritual Illumination,53 BSR,$1489.50,$1655.00,Available,https://nidhiratna.com/products/shakyamuni-buddha-statue-gautamabuddha,2025-06-10
Amitabha Buddha : The Buddha of the Western Pure Land,ABR 54,,,Sold Out,https://nidhiratna.com/products/amitabha-buddha-statue-buddha,2025-06-10
Tsongkhapa Triad: Three Unique Expressions,55 TKR,,,Sold Out,https://nidhiratna.com/products/tsongkhapa-triad-three-unique-expressions,2025-06-10
Mahakala Bernagchen: Guardian of the Sacred Path,MKBR 56,$922.50,$1025.00,Available,https://nidhiratna.com/products/mahakala-bernagchen-guardian-of-the-sacred-path,2025-06-10
Radiant Majesty: The Crowned Shakyamuni Buddha in Gold,57 CBSR,$922.50,$1025.00,Available,https://nidhiratna.com/products/crowned-buddha-shakyamuni-buddha-statue,2025-06-10
Medicine Buddha : The Healing Radiance,58 MBR,,,Sold Out,https://nidhiratna.com/products/medicine-buddha-healing-buddha-1,2025-06-10
"Triumphant Grace: Namgyalma, the Three-Faced Goddess",59 NGR,,,Sold Out,https://nidhiratna.com/products/namgyalma-the-three-faced-goddess-statuess,2025-06-10
Divine Contemplation: The Golden Milarepa Statue,60 MR,$742.50,$825.00,Available,https://nidhiratna.com/products/the-golden-milarepa-statue-in-buddhist,2025-06-10
Marpha's Essence: Unveiling Lhodak Marpa Choski Lodos,61 MR,,,Sold Out,https://nidhiratna.com/products/marpa-buddhist-master-statue-guru-statue,2025-06-10
The Radiant Wisdom: Exploring the Teachings of Gampopa,62 GPR,,,Sold Out,https://nidhiratna.com/products/the-teachings-of-gampopa,2025-06-10
Prosperity's Guardian: The Dzambhala Statue,63 DZR,$549.00,$610.00,Available,https://nidhiratna.com/products/guardian-the-dzambhala-statue,2025-06-10
Manjushri Bodhisattva | Embodiment of Enlightened Wisdom,64 MSR,,,Sold Out,https://nidhiratna.com/products/manjushri-bodhisattva-embodiment-of-enlightened-wisdom,2025-06-10
Vajrasattva : Embodiment of Purity,65 VSR,$2700.00,$3000.00,Available,https://nidhiratna.com/products/vajrasattva-purity-deity-statue,2025-06-10
Sakya Mahakala : Guardian of the Sakya Lineage,66 SMR,$733.50,$815.00,Available,https://nidhiratna.com/products/sakya-mahakala-black-protector-statue,2025-06-10
Beyond Vision: The Third Eye of Indra and Cosmic Wisdom,67 INR,$1336.50,$1485.00,Available,https://nidhiratna.com/products/the-third-eye-of-indra-and-cosmic-wisdom-statue,2025-06-10
The Healing Buddha: Bhaisajyaguru's Vows and Powers,68 MBR,$1030.50,$1145.00,Available,https://nidhiratna.com/products/the-healing-buddha-bhaisajyagurus-statue,2025-06-10
White Dzambhala :The Prosperity Guardian atop the Dragon,69 WDZR,$729.00,$810.00,Available,https://nidhiratna.com/products/69-white-dzambhala-kuber-statue,2025-06-10
Compassion Embodied: The Seated Chenrezig Statue,70 CHR,$2938.50,$3265.00,Available,https://nidhiratna.com/products/chenresig-oxidized-chenrezig,2025-06-10
Enlightened Presence: The Karmapa Statue in Tibetan Buddhism,71 KPR,$837.00,$930.00,Available,https://nidhiratna.com/products/the-karmapa-statue-in-tibetan-buddhism,2025-06-10
The Fasting Buddha: An Emblem of Perseverance and Balance,72 BSR,$756.00,$840.00,Available,https://nidhiratna.com/products/fasting-buddha-shakyamuni-buddha-statue,2025-06-10
Radiant Wisdom: Understanding the Spectrum of Guru Rinpoche's,73 GRR,$1431.00,$1590.00,Available,https://nidhiratna.com/products/understanding-the-spectrum-of-guru-rinpoches,2025-06-10
The Bodhi Tree's Guardian: Shakyamuni Buddha's Compassionate Light,74 BSBP,,,Sold Out,https://nidhiratna.com/products/bodhi-trees-guardian-shakyamuni-buddhas,2025-06-10
Sacred Medicine: The Medicine Buddha's Journey to Enlightenment,75 MBBP,,,Sold Out,https://nidhiratna.com/products/medicine-buddha-sacred-medicine-statue,2025-06-10
Eternal Light: Exploring the Amitabha Buddha Statue,ABBP 76,$2700.00,$3000.00,Available,https://nidhiratna.com/products/amitabha-buddhha-statue-beacon-of-compassion,2025-06-10
Emerald Grace: The Green Tara Statue,77 GTBP,,,Sold Out,https://nidhiratna.com/products/green-tara-ststue-emerald-grace,2025-06-10
Vajrakilaya: The Thunderbolt of Enlightenment,78 VKBP,$1786.50,$1985.00,Available,https://nidhiratna.com/products/78-vajrakilaya-thunderbolt-statue,2025-06-10
Guru Rinpoche: The Padmasambhava Teachings,79 GRBP,$841.50,$935.00,Available,https://nidhiratna.com/products/guru-rinpoche-padmasambhava-statue-in-gold,2025-06-10
Trilogy of Enlightenment: The Three Buddha Set,80 TBSBP,,,Sold Out,https://nidhiratna.com/products/trilogy-of-enlightenment-the-three-buddha-set-statue,2025-06-10
Dzambhala Statue: Manifesting Wealth and Prosperity,81 DZBP,$1431.00,$1590.00,Available,https://nidhiratna.com/products/dzambhala-statue-kuber-wealth-deity,2025-06-10
Purifying Light: The Vajrasattva Statue,82 VSBP,$855.00,$950.00,Available,https://nidhiratna.com/products/purifying-light-the-vajrasattva-statue,2025-06-10
Regal Serenity: The Crowned Shakyamuni Buddha,CBSBP 83,$990.00,$1100.00,Available,https://nidhiratna.com/products/regal-serenity-the-crowned-shakyamuni-buddha,2025-06-10
