Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Divine Contemplation: The Golden Milarepa Statue,60 MR,$660.00,$825.00,Available,https://nidhiratna.com/products/the-golden-milarepa-statue-in-buddhist,2025-06-06
Marpha's Essence: Unveiling Lhodak Marpa Choski Lodos,61 MR,,,Sold Out,https://nidhiratna.com/products/marpa-buddhist-master-statue-guru-statue,2025-06-06
The Radiant Wisdom: Exploring the Teachings of Gampopa,62 GPR,,,Sold Out,https://nidhiratna.com/products/the-teachings-of-gampopa,2025-06-06
Prosperity's Guardian: The Dzambhala Statue,63 DZR,$488.00,$610.00,Available,https://nidhiratna.com/products/guardian-the-dzambhala-statue,2025-06-06
Manjushri Bodhisattva | Embodiment of Enlightened Wisdom,64 MSR,,,Sold Out,https://nidhiratna.com/products/manjushri-bodhisattva-embodiment-of-enlightened-wisdom,2025-06-06
Vajrasattva : Embodiment of Purity,65 VSR,$2400.00,$3000.00,Available,https://nidhiratna.com/products/vajrasattva-purity-deity-statue,2025-06-06
Sakya Mahakala : Guardian of the Sakya Lineage,66 SMR,$652.00,$815.00,Available,https://nidhiratna.com/products/sakya-mahakala-black-protector-statue,2025-06-06
Beyond Vision: The Third Eye of Indra and Cosmic Wisdom,67 INR,$1188.00,$1485.00,Available,https://nidhiratna.com/products/the-third-eye-of-indra-and-cosmic-wisdom-statue,2025-06-06
The Healing Buddha: Bhaisajyaguru's Vows and Powers,68 MBR,$916.00,$1145.00,Available,https://nidhiratna.com/products/the-healing-buddha-bhaisajyagurus-statue,2025-06-06
White Dzambhala :The Prosperity Guardian atop the Dragon,69 WDZR,$648.00,$810.00,Available,https://nidhiratna.com/products/69-white-dzambhala-kuber-statue,2025-06-06
Compassion Embodied: The Seated Chenrezig Statue,70 CHR,$2612.00,$3265.00,Available,https://nidhiratna.com/products/chenresig-oxidized-chenrezig,2025-06-06
Enlightened Presence: The Karmapa Statue in Tibetan Buddhism,71 KPR,$744.00,$930.00,Available,https://nidhiratna.com/products/the-karmapa-statue-in-tibetan-buddhism,2025-06-06
The Fasting Buddha: An Emblem of Perseverance and Balance,72 BSR,$672.00,$840.00,Available,https://nidhiratna.com/products/fasting-buddha-shakyamuni-buddha-statue,2025-06-06
Radiant Wisdom: Understanding the Spectrum of Guru Rinpoche's,73 GRR,$1272.00,$1590.00,Available,https://nidhiratna.com/products/understanding-the-spectrum-of-guru-rinpoches,2025-06-06
The Bodhi Tree's Guardian: Shakyamuni Buddha's Compassionate Light,74 BSBP,,,Sold Out,https://nidhiratna.com/products/bodhi-trees-guardian-shakyamuni-buddhas,2025-06-06
Sacred Medicine: The Medicine Buddha's Journey to Enlightenment,75 MBBP,,,Sold Out,https://nidhiratna.com/products/medicine-buddha-sacred-medicine-statue,2025-06-06
